ind_ID,sppcode,species_frac,admix_frac,lat,long
QUE002637_mac,mac,0.99996,4.000000000004e-05,43.68836,-92.92859
QUE002631_mac,mac,0.993536909090909,0.00646309090909103,43.68481,-92.92696
QUE002647_mac,mac,0.999959727272727,4.02727272732495e-05,43.677,-92.93769
QUE002613_mac,mac,0.999959090909091,4.09090909090359e-05,42.04141,-93.678679
QUE002614_mac,mac,0.99996,3.9999999999818e-05,42.049533,-93.679052
QUE002616_mac,mac,0.999959181818182,4.08181818180031e-05,42.030898,-93.632418
QUE002617_mac,mac,0.999959272727273,4.07272727269703e-05,42.023609,-93.633087
QUE002599_mac,mac,0.999959545454546,4.04545454542049e-05,44.2261111,-93.471944
QUE002601_mac,mac,0.999959545454545,4.0454545454538e-05,44.86798,-93.03203
QUE002638_mac,mac,0.99996,3.9999999999818e-05,43.677,-92.93769
QUE002615_mac,mac,0.999959363636364,4.06363636359375e-05,42.036203,-93.639256
QUE002595_mac,mac,0.99996,4.0000000000262e-05,44.2244444,-93.528333
QUE002634_mac,mac,0.996215454545455,0.0037845454545451,43.68461,-92.92134
QUE002590_mac,mac,0.999959454545455,4.05454545450157e-05,45.38953,-93.19485
QUE002608_mac,mac,0.99996,4.000000000004e-05,45.4222222,-93.188056
QUE002641_mac,mac,0.999959909090909,4.00909090910728e-05,43.68531,-92.92292
QUE001334_mac,mac,0.999959909090909,4.00909090909618e-05,40.990945,-90.402384
QUE001337_mac,mac,0.999959909090909,4.00909090909618e-05,40.9904574,-90.405752
QUE001338_mac,mac,0.989613454545455,0.010386545454545,40.9904574,-90.405752
QUE001339_mac,mac,0.999958727272728,4.1272727272057e-05,40.9904574,-90.405752
QUE001342_mac,mac,0.999958818181818,4.11818181820234e-05,40.9905535,-90.399817
QUE001343_mac,mac,0.999958909090909,4.10909090911016e-05,40.989198,-90.398409
QUE001344_mac,mac,0.501281454545454,0.498718545454546,40.9887178,-90.398239
QUE001345_mac,mac,0.987971090909091,0.0120289090909089,40.9887178,-90.398239
QUE001346_mac,mac,0.999959181818182,4.08181818180031e-05,40.9887178,-90.398239
QUE001347_mac,mac,0.99996,4.000000000004e-05,40.9874915367221,-90.393722
QUE001348_mac,mac,0.999959181818182,4.08181818180031e-05,40.9878018,-90.393579
QUE001350_mac,mac,0.999959272727273,4.07272727269703e-05,40.987996,-90.393384
QUE001351_mac,mac,0.999959363636364,4.06363636360485e-05,40.98879,-90.391843
QUE001352_mac,mac,0.974925,0.0250750000000001,40.9898984,-90.384677
QUE001354_bic,bic,0.999948818181818,5.11818181819779e-05,41.7871378,-88.272995
QUE001355_bic,bic,0.999948818181818,5.11818181819779e-05,41.7871378,-88.272995
QUE001356_bic,bic,0.999949363636364,5.0636363636003e-05,41.7873037,-88.273141
QUE001357_bic,bic,0.999948545454545,5.14545454549653e-05,41.7873037,-88.273045
QUE001360_bic,bic,0.999949818181818,5.01818181819491e-05,41.7895934,-88.272206
QUE001366_bic,bic,0.999949181818182,5.08181818179576e-05,43.219807,-90.305408
QUE001368_bic,bic,0.999946727272727,5.32727272729572e-05,43.215162,-90.304929
QUE001370_mac,mac,0.99996,4.000000000004e-05,43.241424,-90.302268
QUE001371_mac,mac,0.99996,4.00000000003731e-05,43.241424,-90.302268
QUE001372_mac,mac,0.996196,0.00380400000000025,43.264793,-90.303891
QUE001375_bic,bic,0.999949272727273,5.07272727270358e-05,43.240287,-90.302314
QUE001386_bic,bic,0.999947818181818,5.21818181820066e-05,43.264793,-90.303891
QUE001487_mac,mac,0.999959545454545,4.04545454549821e-05,41.721525,-87.86057
QUE001526_mac,mac,0.990177090909091,0.00982290909090899,41.724335,-87.859901
QUE001527_bic,bic,0.999949636363636,5.03636363640148e-05,41.726608,-87.866086
QUE001528_bic,bic,0.999949909090909,5.00909090910273e-05,41.7258,-87.865461
QUE001529_bic,bic,0.999948818181818,5.11818181819779e-05,41.725382,-87.86371
QUE001530_mac,mac,0.999959636363636,4.03636363640603e-05,41.725689,-87.862598
QUE001532_mac,mac,0.999959727272728,4.02727272719172e-05,41.718072,-87.866357
QUE001533_mac,mac,0.999959727272727,4.02727272730274e-05,41.71809,-87.866302
QUE001534_bic,bic,0.999949545454545,5.04545454550476e-05,41.718213,-87.866311
QUE001536_mac,mac,0.969834727272727,0.030165272727273,41.72124,-87.866644
QUE001537_bic,bic,0.978893454545454,0.021106545454546,42.183259,-87.914855
QUE001538_bic,bic,0.999949818181818,5.01818181819491e-05,42.183259,-87.914855
QUE001539_bic,bic,0.999946909090909,5.30909090910026e-05,42.183259,-87.914855
QUE001541_mac,mac,0.999959454545454,4.05454545455708e-05,42.183917,-87.91512
QUE001542_mac,mac,0.999959818181818,4.01818181822167e-05,42.183917,-87.91512
QUE001543_bic,bic,0.999947363636364,5.26363636359495e-05,42.184283,-87.914622
QUE001545_bic,bic,0.999949363636364,5.0636363636003e-05,42.184204,-87.913637
QUE001547_mac,mac,0.999959090909091,4.09090909088139e-05,42.183468,-87.9143
QUE001548_mac,mac,0.99996,4.000000000004e-05,42.183468,-87.9143
QUE001549_mac,mac,0.984027636363636,0.015972363636364,42.181511,-87.918994
QUE001463_alb,alb,0.99995,4.99999999999945e-05,34.933333,-92.414722
QUE001451_ste,ste,0.999948818181818,5.11818181819779e-05,30.076389,-97.181667
QUE001452_ste,ste,0.999947727272727,5.22727272730394e-05,30.076389,-97.181667
QUE001550_bic,bic,0.999948727272727,5.12727272730107e-05,42.177593,-87.920503
QUE001551_mac,mac,0.994993727272728,0.00500627272727205,42.17597,-87.91698
QUE001552_bic,bic,0.999948545454545,5.14545454549653e-05,42.17597,-87.91698
QUE001553_bic,bic,0.99995,4.99999999999945e-05,42.174555,-87.912008
QUE001554_mac,mac,0.999959181818182,4.08181818184472e-05,42.175674,-87.914878
QUE001555_bic,bic,0.999949545454545,5.04545454550476e-05,42.175536,-87.914478
QUE001556_mac,mac,0.977974454545454,0.022025545454546,42.175701,-87.914442
QUE001388_bic,bic,0.999949181818182,5.08181818179576e-05,43.264793,-90.303891
QUE001400_ste,ste,0.999949,5.10000000000232e-05,32.3582421,-89.547185
QUE001403_ste,ste,0.999948909090909,5.1090909090945e-05,32.3582421,-89.547185
QUE001406_ste,ste,0.999949454545455,5.05454545449702e-05,32.3582421,-89.547185
QUE001408_ste,ste,0.999949,5.10000000000232e-05,32.3582421,-89.547185
QUE001409_ste,ste,0.999948545454545,5.14545454549653e-05,32.3582421,-89.547185
QUE001410_ste,ste,0.999948636363636,5.13636363640435e-05,32.3582421,-89.547185
QUE001411_ste,ste,0.999947727272728,5.22727272720402e-05,32.3582421,-89.547185
QUE001412_ste,ste,0.999949090909091,5.09090909089904e-05,32.3582421,-89.547185
QUE001758_alb,alb,0.999949636363636,5.03636363640148e-05,43.10661,-89.80435
QUE001759_mac,mac,0.99996,4.000000000004e-05,43.10698,-89.80825
QUE001804_mac,mac,0.99996,4.000000000004e-05,42.04211,-93.60619
QUE001814_mac,mac,0.99996,4.000000000004e-05,40.7056,-91.79416
QUE001815_alb,alb,0.999947818181818,5.21818181820066e-05,40.70625,-91.79392
QUE001819_mue,mue,0.999949727272727,5.02727272729819e-05,40.70481,-91.79589
QUE001839_ste,ste,0.999948727272727,5.12727272730107e-05,37.97291,-92.76217
QUE001840_mue,mue,0.999948272727273,5.17272727269535e-05,37.973,-92.76217
QUE001841_alb,alb,0.848406818181818,0.151593181818182,37.97316,-92.76227
QUE001862_ste,ste,0.999947454545455,5.25454545450277e-05,36.84914,-96.4152
QUE001863_mac,mac,0.99996,4.000000000004e-05,36.84504,-96.42526
QUE001893_mue,mue,0.999948818181818,5.11818181819779e-05,35.44809,-98.35347
QUE001916_mac,mac,0.999959636363636,4.03636363638382e-05,34.80384,-92.32634
QUE001918_alb,alb,0.999949090909091,5.09090909089904e-05,34.80299,-92.32599
QUE001932_alb,alb,0.999949636363636,5.03636363640148e-05,37.15729,-91.36499
QUE001933_mac,mac,0.999959272727272,4.07272727276364e-05,37.15687,-91.36471
QUE001783_mac,mac,0.999958727272727,4.12727272725011e-05,41.9736,-91.7239
QUE001880_mac,mac,0.999958909090909,4.10909090912126e-05,36.2204,-95.89845
QUE001907_mac,mac,0.99996,3.99999999995959e-05,35.17688,-97.4497
QUE001937_mac,mac,0.999959818181818,4.01818181819946e-05,43.90292,-91.63996
QUE001963_mac,mac,0.99996,4.000000000004e-05,49.76137,-99.1604
QUE001971_mac,mac,0.999959545454546,4.04545454539829e-05,49.85783,-97.24911
QUE001982_mac,mac,0.99996,4.000000000004e-05,46.0259,-91.14288
QUE002057_mac,mac,0.999960000000001,3.99999999994849e-05,38.963586,-98.58906
QUE002074_mac,mac,0.999959181818182,4.08181818180031e-05,39.839311,-88.367745
QUE002075_alb,alb,0.999949,5.10000000000232e-05,39.839311,-88.367745
QUE002081_mac,mac,0.999959090909091,4.090909090948e-05,37.51492,-89.4445
QUE002082_mac,mac,0.999959818181818,4.01818181819946e-05,37.51639,-89.44535
QUE002085_mac,mac,0.999958636363636,4.1363636364089e-05,38.7362,-86.41257
QUE002091_alb,alb,0.999948454545455,5.15454545449989e-05,38.73631,-86.41434
QUE002098_mue,mue,0.999945818181818,5.41818181819531e-05,38.73743,-86.41263
QUE002105_mac,mac,0.993611818181818,0.00638818181818201,40.45916,-85.50807
QUE002108_alb,alb,0.999948545454545,5.14545454549653e-05,40.45911,-85.50917
QUE002121_alb,alb,0.999948272727273,5.17272727269535e-05,41.65738,-87.06045
QUE002129_mac,mac,0.999959454545455,4.05454545450157e-05,41.9623302,-73.313005
QUE002133_mac,mac,0.926808909090909,0.073191090909091,42.1666494,-73.41209
QUE002138_alb,alb,0.999948636363636,5.13636363640435e-05,43.604683,-73.180401
QUE002154_mac,mac,0.982345727272727,0.0176542727272729,44.4006814,-73.23757
QUE002155_alb,alb,0.532823272727273,0.467176727272727,44.4463947,-73.220154
QUE002187_mac,mac,0.99996,4.000000000004e-05,38.51089,-90.55987
QUE002188_ste,ste,0.999949181818182,5.08181818179576e-05,38.51146,-90.55917
QUE002189_mue,mue,0.999949181818182,5.08181818179576e-05,38.51135,-90.55921
QUE002196_bic,bic,0.999948727272727,5.12727272730107e-05,38.22667,-91.08296
QUE002209_ste,ste,0.999948636363636,5.13636363640435e-05,38.21813,-91.08355
QUE002210_alb,alb,0.999949909090909,5.00909090910273e-05,38.21718,-91.08636
QUE002219_ste,ste,0.999948636363636,5.13636363640435e-05,38.21786,-91.09209
QUE002247_mue,mue,0.999948818181818,5.11818181819779e-05,38.97887,-94.80495
QUE002251_mac,mac,0.999958090909091,4.19090909090647e-05,38.98007,-94.8052
QUE002252_ste,ste,0.999949818181818,5.01818181819491e-05,38.98014,-94.80504
QUE002253_alb,alb,0.999949545454545,5.04545454550476e-05,38.9803,-94.80532
QUE002285_mue,mue,0.999949636363636,5.03636363640148e-05,38.8087,-95.19389
QUE002302_mac,mac,0.99996,4.000000000004e-05,39.10339,-96.59616
QUE002303_mue,mue,0.999949545454546,5.04545454540484e-05,39.10158,-96.59982
QUE002304_mac,mac,0.999959727272727,4.02727272730274e-05,39.10791,-96.60469
QUE002326_mac,mac,0.521900727272728,0.478099272727272,43.85323,-83.923
QUE002336_mac,mac,0.999959818181818,4.01818181821056e-05,42.30836,-83.75671
QUE002337_alb,alb,0.999947272727273,5.27272727269823e-05,42.30474,-83.7508
QUE002355_alb,alb,0.999949,5.10000000000232e-05,42.76662,-84.39114
QUE002361_bic,bic,0.462748727272727,0.537251272727273,42.76526,-84.38254
QUE002367_mac,mac,0.99996,4.000000000004e-05,43.01685,-90.11481
QUE002399_alb,alb,0.999949909090909,5.00909090910273e-05,43.01706,-88.43531
QUE002400_mac,mac,0.999796454545455,0.00020354545454504,43.01607,-88.43513
QUE002424_mac,mac,0.999958636363636,4.13636363635339e-05,44.36388,-93.93543
QUE002471_mac,mac,0.999959454545455,4.05454545450157e-05,40.73122,-83.09328
QUE002480_mac,mac,0.99996,4.000000000004e-05,41.55069,-84.35969
QUE002481_mue,mue,0.999949090909091,5.09090909089904e-05,41.55096,-84.35846
QUE002493_alb,alb,0.999947727272727,5.22727272730394e-05,41.5522,-84.35895
QUE002526_alb,alb,0.999946909090909,5.30909090910026e-05,42.18327,-87.91426
QUE002528_bic,bic,0.999949727272727,5.02727272729819e-05,42.18431,-87.91628
QUE002535_alb,alb,0.999949727272727,5.02727272729819e-05,41.82519,-87.93085
QUE002579_mac,mac,0.999958727272727,4.12727272730562e-05,43.81684,-103.25005
QUE002364_mac,mac,0.99996,4.0000000000151e-05,43.01643,-90.11418
QUE002369_mac,mac,0.99996,3.9999999999818e-05,43.02128,-90.11695
QUE002370_alb,alb,0.999948818181818,5.11818181819779e-05,43.02158,-90.1181
QUE002371_mac,mac,0.999959454545455,4.05454545450157e-05,43.02073,-90.11771
QUE002373_mac,mac,0.99996,4.000000000004e-05,43.0193,-90.11692
QUE002374_mac,mac,0.99996,4.000000000004e-05,43.01828,-90.11701
QUE002375_alb,alb,0.999949727272727,5.02727272729819e-05,43.01817,-90.11679
QUE001610_mac,mac,0.995359,0.00464100000000001,41.81347,-88.06293
QUE001796_mac,mac,0.999959181818182,4.08181818183362e-05,42.03033,-93.632
QUE001846_alb,alb,0.999947818181818,5.21818181820066e-05,37.97414,-92.76266
QUE001871_ste,ste,0.931092,0.068908,36.84354,-96.4292
QUE001877_ste,ste,0.579905454545455,0.420094545454545,36.84541,-96.41918
QUE001878_mac,mac,0.99995909090909,4.09090909100351e-05,36.2107,-95.89476
QUE001882_mac,mac,0.947311727272728,0.0526882727272719,36.22064,-95.89876
QUE001885_alb,alb,0.469299272727273,0.530700727272727,36.21812,-95.90014
QUE001886_mac,mac,0.634641363636363,0.365358636363637,35.45351,-98.35412
QUE001898_mue,mue,0.473243,0.526757,35.44085,-98.35471
QUE001900_mac,mac,0.99996,4.00000000004841e-05,35.43874,-98.35495
QUE001904_mac,mac,0.999958454545454,4.15454545460436e-05,35.17705,-97.44921
QUE001912_mac,mac,0.999959727272728,4.02727272723613e-05,35.17722,-97.45003
QUE001920_alb,alb,0.491911090909091,0.508088909090909,34.80306,-92.32555
QUE001922_mac,mac,0.569404545454546,0.430595454545454,34.8028,-92.32557
QUE001923_ste,ste,0.501479636363636,0.498520363636364,34.80348,-92.3259
QUE001924_mac,mac,0.999959727272727,4.02727272731385e-05,34.80377,-92.32698
QUE001925_ste,ste,0.478314727272727,0.521685272727273,34.80427,-92.32652
QUE001928_mac,mac,0.999959363636364,4.06363636360485e-05,34.80445,-92.32612
QUE001929_mac,mac,0.999959181818182,4.08181818183362e-05,37.1574,-91.36496
QUE001930_mue,mue,0.999948181818182,5.18181818179864e-05,37.1574,-91.36496
QUE001936_mac,mac,0.999959,4.09999999995136e-05,37.15758,-91.36513
QUE001938_mue,mue,0.99995,4.99999999999945e-05,43.903,-91.63986
QUE001943_alb,alb,0.999948,5.2000000000052e-05,43.89158,-91.64829
QUE001959_mac,mac,0.999959181818182,4.08181818180031e-05,49.71187,-95.24456
QUE001969_mac,mac,0.99996,4.000000000004e-05,49.76055,-99.15844
QUE001980_mac,mac,0.999959272727273,4.07272727270813e-05,46.02383,-91.14557
QUE001985_mac,mac,0.999959,4.10000000000688e-05,46.0244,-91.12945
QUE002058_mac,mac,0.999959272727273,4.07272727269703e-05,38.963586,-98.58906
QUE002068_mac,mac,0.999959909090909,4.00909090905177e-05,38.842944,-97.588909
QUE002069_mac,mac,0.999959,4.10000000000688e-05,38.842944,-97.588909
QUE002072_mac,mac,0.999959454545455,4.05454545450157e-05,39.839311,-88.367745
QUE002073_mac,mac,0.999959545454545,4.04545454550931e-05,39.839311,-88.367745
QUE002076_mac,mac,0.99996,4.000000000004e-05,39.839311,-88.367745
QUE002083_mac,mac,0.999959636363636,4.03636363640603e-05,37.51651,-89.44542
QUE002084_mac,mac,0.99996,4.000000000004e-05,37.51726,-89.44584
QUE002087_mac,mac,0.999959909090909,4.00909090914059e-05,38.73603,-86.41255
QUE002096_mac,mac,0.999959636363636,4.03636363640603e-05,38.73833,-86.41346
QUE002099_mue,mue,0.433694090909091,0.566305909090909,40.45791,-85.50685
QUE002106_mac,mac,0.569147181818182,0.430852818181818,40.45911,-85.50878
QUE002109_alb,alb,0.999949363636364,5.0636363636003e-05,40.45916,-85.50973
QUE002110_mac,mac,0.999958636363636,4.1363636364089e-05,41.53273,-87.2948
QUE002114_mac,mac,0.999959090909091,4.09090909090359e-05,41.53403,-87.29146
QUE002119_mac,mac,0.99996,4.000000000004e-05,41.53239,-87.29708
QUE002124_alb,alb,0.999948727272727,5.12727272730107e-05,41.65955,-87.06218
QUE002128_alb,alb,0.999949363636364,5.0636363636003e-05,41.65947,-87.04994
QUE002132_mac,mac,0.487128181818182,0.512871818181818,42.1665869,-73.412025
QUE002134_mac,mac,0.947600727272727,0.0523992727272725,42.9102876,-73.219556
QUE002135_mac,mac,0.951742818181818,0.0482571818181821,42.910269,-73.219522
QUE002136_mac,mac,0.990058545454545,0.00994145454545481,42.909897,-73.218712
QUE002139_mac,mac,0.527473272727273,0.472526727272727,43.5836123,-73.202578
QUE002140_mac,mac,0.933220181818182,0.066779818181818,43.7432343,-73.04841
QUE002141_mac,mac,0.938258909090909,0.0617410909090911,43.9166704,-73.19356
QUE002143_mac,mac,0.955686727272727,0.044313272727273,43.951352,-73.222777
QUE002147_mac,mac,0.969516181818182,0.030483818181818,44.0059347,-73.148044
QUE002148_mac,mac,0.971046,0.0289539999999998,44.2343287,-73.243211
QUE002149_alb,alb,0.530637,0.469363,44.2354233,-73.243422
QUE002150_mac,mac,0.970225272727273,0.029774727272727,44.2339356,-73.243122
QUE002151_mac,mac,0.961501909090909,0.0384980909090911,44.2643368,-73.249727
QUE002157_alb,alb,0.583060909090909,0.416939090909091,44.44643,-73.220373
QUE002159_mac,mac,0.981258454545455,0.0187415454545453,44.5792499,-73.165539
QUE002160_mac,mac,0.970911818181818,0.0290881818181821,44.6675241,-73.344894
QUE002161_mac,mac,0.987229636363637,0.0127703636363633,44.7174297,-73.32585
QUE002166_mac,mac,0.999959636363636,4.03636363635052e-05,38.46385,-90.80547
QUE002170_mac,mac,0.99996,4.000000000004e-05,38.46187,-90.81498
QUE002175_mac,mac,0.999959727272727,4.02727272730274e-05,38.46608,-90.8094
QUE002176_alb,alb,0.999947636363636,5.23636363639612e-05,38.51339,-90.57564
QUE002180_ste,ste,0.999947545454545,5.24545454549941e-05,38.51456,-90.57724
QUE002194_mac,mac,0.99996,4.000000000004e-05,38.22685,-91.08245
QUE002195_ste,ste,0.999948909090909,5.1090909090945e-05,38.22665,-91.08285
QUE002202_mac,mac,0.999959181818182,4.08181818180031e-05,38.22441,-91.08194
QUE002216_alb,alb,0.99995,4.99999999999945e-05,38.21713,-91.09208
QUE002225_alb,alb,0.999949181818182,5.08181818179576e-05,38.21733,-91.09339
QUE002226_mue,mue,0.999949545454545,5.04545454550476e-05,37.15758,-91.30513
QUE002229_ste,ste,0.999948090909091,5.19090909090192e-05,38.97864,-94.80724
QUE002232_alb,alb,0.999948909090909,5.1090909090945e-05,38.97918,-94.80692
QUE002240_ste,ste,0.999948,5.2000000000052e-05,38.97934,-94.80537
QUE002256_mac,mac,0.999958545454545,4.14545454546777e-05,38.98048,-94.80568
QUE002261_alb,alb,0.999949727272727,5.02727272729819e-05,38.9813,-94.80572
QUE002265_mac,mac,0.987234909090909,0.0127650909090911,38.98141,-94.81036
QUE002267_mue,mue,0.999947181818182,5.28181818180151e-05,38.80954,-95.18853
QUE002268_mac,mac,0.999959909090909,4.00909090909618e-05,38.80951,-95.18855
QUE002269_alb,alb,0.999946272727273,5.37272727270111e-05,38.80958,-95.18916
QUE002275_alb,alb,0.999948636363636,5.13636363640435e-05,38.8089,-95.19019
QUE002290_mue,mue,0.999948636363636,5.13636363640435e-05,38.80832,-95.19458
QUE002291_mac,mac,0.999959,4.09999999999577e-05,38.80803,-95.19508
QUE002299_mac,mac,0.999959181818182,4.08181818180031e-05,39.10691,-96.60616
QUE002310_mue,mue,0.999949909090909,5.00909090910273e-05,39.10761,-96.6074
QUE002313_alb,alb,0.999946909090909,5.30909090910026e-05,41.86308,-85.74551
QUE002314_alb,alb,0.999948090909091,5.19090909090192e-05,41.74568,-85.74568
QUE002315_alb,alb,0.999949363636364,5.0636363636003e-05,41.86175,-85.74576
QUE002319_alb,alb,0.99995,4.99999999999945e-05,41.86398,-85.74573
QUE002324_alb,alb,0.999947909090909,5.20909090909738e-05,41.86993,-85.74568
QUE002331_mac,mac,0.892033818181818,0.107966181818182,43.84822,-83.92385
QUE002335_mac,mac,0.847936272727273,0.152063727272727,43.85714,-83.92524
QUE002338_mac,mac,0.991034,0.00896600000000003,42.30404,-83.74966
QUE002339_alb,alb,0.999946545454545,5.34545454550228e-05,42.30204,-83.75024
QUE002341_mac,mac,0.938193545454545,0.0618064545454551,42.30153,-83.75108
QUE002342_alb,alb,0.999949363636364,5.0636363636003e-05,42.30881,-83.75718
QUE002346_alb,alb,0.999948181818182,5.18181818179864e-05,42.76774,-84.39124
QUE002347_bic,bic,0.999948909090909,5.1090909090945e-05,42.76743,-84.3908
QUE002351_alb,alb,0.999949363636364,5.0636363636003e-05,42.76807,-84.39044
QUE002362_alb,alb,0.999949,5.10000000000232e-05,42.76512,-84.38236
QUE002379_mac,mac,0.999959636363636,4.03636363640603e-05,43.02037,-90.11654
QUE002383_alb,alb,0.999949363636364,5.0636363636003e-05,43.01563,-90.11357
QUE002384_mac,mac,0.999959727272727,4.02727272730274e-05,43.01546,-88.44251
QUE002385_alb,alb,0.486820363636364,0.513179636363636,43.01574,-88.44255
QUE002392_alb,alb,0.999949181818182,5.08181818179576e-05,43.01792,-88.43778
QUE002393_mac,mac,0.999959727272728,4.02727272724723e-05,43.01838,-88.43741
QUE002404_mac,mac,0.99996,4.000000000004e-05,43.03952,-89.43194
QUE002410_alb,alb,0.999949818181818,5.01818181819491e-05,43.03918,-89.43919
QUE002411_mac,mac,0.999959363636364,4.06363636361595e-05,43.03939,-89.43954
QUE002416_alb,alb,0.999949272727273,5.07272727270358e-05,43.03971,-89.44242
QUE002417_mac,mac,0.999959636363636,4.03636363637272e-05,43.03966,-89.44229
QUE002422_alb,alb,0.999949272727273,5.07272727270358e-05,43.03713,-89.44103
QUE002427_mac,mac,0.999959818181818,4.01818181819946e-05,44.36388,-93.93543
QUE002430_mac,mac,0.99996,4.000000000004e-05,44.36413,-93.93551
QUE002433_mac,mac,0.999959818181818,4.01818181819946e-05,45.53,-94.23291
QUE002443_mac,mac,0.99996,4.000000000004e-05,45.53088,-94.23989
QUE002445_mac,mac,0.999959363636364,4.06363636360485e-05,44.98602,-93.18341
QUE002450_mac,mac,0.999959636363636,4.03636363640603e-05,44.99094,-93.19437
QUE002453_mac,mac,0.999958545454545,4.14545454550108e-05,44.97771,-93.23801
QUE002454_mac,mac,0.99996,4.000000000004e-05,41.08874,-85.12054
QUE002459_mac,mac,0.990730090909091,0.00926990909090897,41.08937,-85.11921
QUE002460_mac,mac,0.993572727272727,0.00642727272727295,40.0436,-83.47987
QUE002467_mac,mac,0.999428,0.000572000000000017,40.04436,-83.47891
QUE002474_mac,mac,0.999959727272727,4.02727272730274e-05,40.73036,-83.09472
QUE002478_mac,mac,0.999959909090909,4.00909090910728e-05,40.72819,-83.09294
QUE002484_mue,mue,0.999946727272727,5.32727272729572e-05,41.55111,-84.35754
QUE002487_alb,alb,0.999948818181818,5.11818181819779e-05,41.55184,-84.35523
QUE002488_mue,mue,0.999949818181818,5.01818181819491e-05,41.55179,-84.35439
QUE002492_mac,mac,0.999959272727273,4.07272727269703e-05,41.55453,-84.35494
QUE002494_alb,alb,0.999949818181818,5.01818181819491e-05,41.55399,-84.36051
QUE002495_alb,alb,0.999948636363637,5.13636363630443e-05,41.71554,-87.86613
QUE002496_mac,mac,0.999958,4.19999999997644e-05,41.71553,-87.86614
QUE002502_mac,mac,0.999959454545454,4.05454545460149e-05,41.71129,-87.86589
QUE002503_alb,alb,0.99995,4.99999999999945e-05,41.71076,-87.86585
QUE002510_mac,mac,0.999959181818182,4.08181818180031e-05,41.70489,-87.86563
QUE002511_alb,alb,0.999949727272727,5.02727272729819e-05,41.70382,-87.86566
QUE002515_mac,mac,0.99996,3.9999999999929e-05,41.35763,-88.3248
QUE002518_mac,mac,0.999959909090909,4.00909090910728e-05,41.35543,-88.31912
QUE002520_mac,mac,0.999862909090909,0.000137090909090976,41.35823,-88.3248
QUE002521_mac,mac,0.999959818181819,4.01818181813285e-05,42.18309,-87.91367
QUE002522_alb,alb,0.999948,5.2000000000052e-05,42.18346,-87.91339
QUE002529_bic,bic,0.99995,4.99999999999945e-05,42.18461,-87.91605
QUE002531_bic,bic,0.999947545454545,5.24545454549941e-05,42.18361,-87.91519
QUE002533_mac,mac,0.99996,4.000000000004e-05,42.18369,-87.91427
QUE002534_alb,alb,0.999949545454545,5.04545454550476e-05,42.18271,-87.91479
QUE002542_mac,mac,0.99996,3.9999999999929e-05,41.82484,-87.93243
QUE002544_alb,alb,0.999948818181818,5.11818181819779e-05,41.82534,-87.93216
QUE002555_alb,alb,0.999949818181818,5.01818181819491e-05,41.82584,-87.93339
QUE002556_bic,bic,0.999949818181818,5.01818181819491e-05,41.82472,-87.96408
QUE002558_mac,mac,0.999958909090909,4.10909090909906e-05,41.82545,-87.93266
QUE002559_mac,mac,0.992747272727273,0.00725272727272697,41.82556,-87.93279
QUE002560_mac,mac,0.99996,4.000000000004e-05,42.257804,-87.881609
QUE002564_mac,mac,0.995609363636363,0.00439063636363668,42.257804,-87.881609
QUE002581_mac,mac,0.954106818181819,0.0458931818181815,44.49133,-103.80895
QUE002570_mac,mac,0.999958363636364,4.16363636360773e-05,43.76049,-103.47675
QUE001721_mac,mac,0.999959181818182,4.08181818180031e-05,39.93549,-89.80068
