mukey,ind_ID,lat,long,ffd,areasymbol,musym,muname,caco3_r,cec7_r,ec_r,ecec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,surf_texture,min_surf_texture,total_aws,avg_soildepth
106737,QUE001885,36.21812,-95.90014,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001880,36.2204,-95.89845,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001884,36.21813,-95.89998,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001882,36.22064,-95.89876,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001878,36.2107,-95.89476,191,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
160670,QUE002128,41.65947,-87.04994,158,IN127,OaC,Oakville fine sand; 4 to 12 percent slopes,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07,None,None,Well drained,7.3,fs,fs,10.42,152
160670,QUE002124,41.65955,-87.06218,158,IN127,OaC,Oakville fine sand; 4 to 12 percent slopes,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07,None,None,Well drained,7.3,fs,fs,10.42,152
160670,QUE002121,41.65738,-87.06045,158,IN127,OaC,Oakville fine sand; 4 to 12 percent slopes,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07,None,None,Well drained,7.3,fs,fs,10.42,152
164707,QUE002454,41.08874,-85.12054,148,IN003,McB,Martinsville loam; 2 to 6 percent slopes,0,11.87,0,10.37,0,6.2,22.94,49.91,27.15,1.49,2.3,0.56,9.17,0.18,None,None,Well drained,17.56,l,l,38.71,203
164707,QUE002459,41.08937,-85.11921,148,IN003,McB,Martinsville loam; 2 to 6 percent slopes,0,11.87,0,10.37,0,6.2,22.94,49.91,27.15,1.49,2.3,0.56,9.17,0.18,None,None,Well drained,17.56,l,l,38.71,203
164707,QUE002455,41.08919,-85.11948,148,IN003,McB,Martinsville loam; 2 to 6 percent slopes,0,11.87,0,10.37,0,6.2,22.94,49.91,27.15,1.49,2.3,0.56,9.17,0.18,None,None,Well drained,17.56,l,l,38.71,203
165348,QUE002314,41.74568,-85.74568,139,IN039,CnbC,Coloma sand; 5 to 10 percent slopes,0,2.56,0,NA,0,6.1,2.85,91.75,5.4,1.53,0.23,0.39,55,0.07,None,None,Somewhat excessively drained,7.35,s,s,13.38,203
168542,QUE002471,40.73122,-83.09328,147,OH033,Blg1B1,Blount silt loam; ground moraine; 2 to 4 percent slopes,3,21.48,0,14.86,0,6.71,36.41,18.91,44.68,1.58,3.81,0.8,2.81,0.14,None,None,Somewhat poorly drained,14.68,sil,sil,18.52,NA
168593,QUE002474,40.73036,-83.09472,147,OH033,TrA,Tiro silt loam; 0 to 2 percent slopes,0.18,14.16,0,NA,0,6.17,26.68,20.62,52.7,1.5,2.83,1.27,9.1,0.16,None,None,Somewhat poorly drained,16.35,sil,sil,25.6,200
168593,QUE002478,40.72819,-83.09294,147,OH033,TrA,Tiro silt loam; 0 to 2 percent slopes,0.18,14.16,0,NA,0,6.17,26.68,20.62,52.7,1.5,2.83,1.27,9.1,0.16,None,None,Somewhat poorly drained,16.35,sil,sil,25.6,200
169076,QUE002481,41.55096,-84.35846,146,OH051,DfA,Del Rey silt loam; 0 to 3 percent slopes,6.27,18.91,0,NA,0,6.59,33.62,18.89,47.49,1.51,3.75,0.94,2.98,0.17,None,None,Somewhat poorly drained,16.91,sil,sil,22.11,152
169076,QUE002487,41.55184,-84.35523,146,OH051,DfA,Del Rey silt loam; 0 to 3 percent slopes,6.27,18.91,0,NA,0,6.59,33.62,18.89,47.49,1.51,3.75,0.94,2.98,0.17,None,None,Somewhat poorly drained,16.91,sil,sil,22.11,152
169080,QUE002494,41.55399,-84.36051,146,OH051,FtA,Fulton silty clay loam; 0 to 2 percent slopes,8.2,24.82,0,NA,0,6.6,42.59,8.95,48.46,1.55,6.81,0.72,1.3,0.13,None,None,Somewhat poorly drained,13.24,sicl,sicl,18.44,152
169094,QUE002484,41.55111,-84.35754,146,OH051,Lf,Lenawee silty clay loam; 0 to 1 percent slopes,1.54,19.92,0.18,NA,0,7.04,35,14,51,1.56,4.59,2.24,0.05,0.12,Frequent,None,Poorly drained,12,sicl,sicl,23.33,203
169094,QUE002488,41.55179,-84.35439,146,OH051,Lf,Lenawee silty clay loam; 0 to 1 percent slopes,1.54,19.92,0.18,NA,0,7.04,35,14,51,1.56,4.59,2.24,0.05,0.12,Frequent,None,Poorly drained,12,sicl,sicl,23.33,203
169094,QUE002492,41.55453,-84.35494,146,OH051,Lf,Lenawee silty clay loam; 0 to 1 percent slopes,1.54,19.92,0.18,NA,0,7.04,35,14,51,1.56,4.59,2.24,0.05,0.12,Frequent,None,Poorly drained,12,sicl,sicl,23.33,203
169094,QUE002480,41.55069,-84.35969,146,OH051,Lf,Lenawee silty clay loam; 0 to 1 percent slopes,1.54,19.92,0.18,NA,0,7.04,35,14,51,1.56,4.59,2.24,0.05,0.12,Frequent,None,Poorly drained,12,sicl,sicl,23.33,203
169094,QUE002493,41.5522,-84.35895,146,OH051,Lf,Lenawee silty clay loam; 0 to 1 percent slopes,1.54,19.92,0.18,NA,0,7.04,35,14,51,1.56,4.59,2.24,0.05,0.12,Frequent,None,Poorly drained,12,sicl,sicl,23.33,203
169899,QUE002467,40.04436,-83.47891,148,OH097,Ko,Kokomo silty clay loam; 0 to 2 percent slopes,0,27.9,0,NA,0,6.42,34.6,21.44,43.96,1.48,5.18,2.34,2.82,0.16,Frequent,None,Very poorly drained,15.4,sicl,sicl,27.92,200
169899,QUE002463,40.04521,-83.47924,148,OH097,Ko,Kokomo silty clay loam; 0 to 2 percent slopes,0,27.9,0,NA,0,6.42,34.6,21.44,43.96,1.48,5.18,2.34,2.82,0.16,Frequent,None,Very poorly drained,15.4,sicl,sicl,27.92,200
169899,QUE002460,40.0436,-83.47987,148,OH097,Ko,Kokomo silty clay loam; 0 to 2 percent slopes,0,27.9,0,NA,0,6.42,34.6,21.44,43.96,1.48,5.18,2.34,2.82,0.16,Frequent,None,Very poorly drained,15.4,sicl,sicl,27.92,200
183392,QUE001729,41.82057,-88.05048,147,IL043,298A,Beecher silt loam; 0 to 2 percent slopes,1.32,15.2,0.2,NA,0,6.96,32.22,8.94,58.84,1.51,2.83,1.25,3.92,0.15,None,None,Somewhat poorly drained,14.83,sil,sil,17.19,NA
183393,QUE001629,41.81671,-88.0628,143,IL043,298B,Beecher silt loam; 2 to 4 percent slopes,1.32,15.2,0.2,NA,0,6.96,32.22,8.94,58.84,1.51,2.83,1.25,3.92,0.15,None,None,Somewhat poorly drained,14.83,sil,sil,17.19,NA
183395,QUE002536,41.82643,-87.93114,148,IL043,3107A,Sawmill silty clay loam; heavy till plain; 0 to 2 percent slopes; frequently flooded,0,24.96,1,NA,0,6.73,30.75,9.65,59.6,1.37,4.45,1.89,9.17,0.18,Frequent,Frequent,Poorly drained,17.78,sicl,sicl,28.73,165
183395,QUE002539,41.82445,-87.93334,148,IL043,3107A,Sawmill silty clay loam; heavy till plain; 0 to 2 percent slopes; frequently flooded,0,24.96,1,NA,0,6.73,30.75,9.65,59.6,1.37,4.45,1.89,9.17,0.18,Frequent,Frequent,Poorly drained,17.78,sicl,sicl,28.73,165
183395,QUE002542,41.82484,-87.93243,148,IL043,3107A,Sawmill silty clay loam; heavy till plain; 0 to 2 percent slopes; frequently flooded,0,24.96,1,NA,0,6.73,30.75,9.65,59.6,1.37,4.45,1.89,9.17,0.18,Frequent,Frequent,Poorly drained,17.78,sicl,sicl,28.73,165
183402,QUE002555,41.82584,-87.93339,148,IL043,327B,Fox silt loam; 2 to 4 percent slopes,12.95,11.63,0,NA,0,7.62,20.77,48.58,30.65,1.56,3.09,0.47,129.3,0.13,None,None,Well drained,12.93,sil,sil,19.46,NA
183402,QUE002535,41.82519,-87.93085,148,IL043,327B,Fox silt loam; 2 to 4 percent slopes,12.95,11.63,0,NA,0,7.62,20.77,48.58,30.65,1.56,3.09,0.47,129.3,0.13,None,None,Well drained,12.93,sil,sil,19.46,NA
183402,QUE002558,41.82545,-87.93266,148,IL043,327B,Fox silt loam; 2 to 4 percent slopes,12.95,11.63,0,NA,0,7.62,20.77,48.58,30.65,1.56,3.09,0.47,129.3,0.13,None,None,Well drained,12.93,sil,sil,19.46,NA
183402,QUE002544,41.82534,-87.93216,148,IL043,327B,Fox silt loam; 2 to 4 percent slopes,12.95,11.63,0,NA,0,7.62,20.77,48.58,30.65,1.56,3.09,0.47,129.3,0.13,None,None,Well drained,12.93,sil,sil,19.46,NA
183402,QUE002559,41.82556,-87.93279,148,IL043,327B,Fox silt loam; 2 to 4 percent slopes,12.95,11.63,0,NA,0,7.62,20.77,48.58,30.65,1.56,3.09,0.47,129.3,0.13,None,None,Well drained,12.93,sil,sil,19.46,NA
183423,QUE001611,41.81345,-88.06309,143,IL043,530C2,Ozaukee silt loam; 4 to 6 percent slopes; eroded,4.3,15.77,0,NA,0,7.11,35.58,11.64,52.78,1.57,2.72,0.64,3.07,0.13,None,None,Moderately well drained,13.16,sil,sil,17.84,152
183423,QUE001630,41.81672,-88.06216,144,IL043,530C2,Ozaukee silt loam; 4 to 6 percent slopes; eroded,4.3,15.77,0,NA,0,7.11,35.58,11.64,52.78,1.57,2.72,0.64,3.07,0.13,None,None,Moderately well drained,13.16,sil,sil,17.84,152
183423,QUE001610,41.81347,-88.06293,143,IL043,530C2,Ozaukee silt loam; 4 to 6 percent slopes; eroded,4.3,15.77,0,NA,0,7.11,35.58,11.64,52.78,1.57,2.72,0.64,3.07,0.13,None,None,Moderately well drained,13.16,sil,sil,17.84,152
183423,QUE002556,41.82472,-87.96408,148,IL043,530C2,Ozaukee silt loam; 4 to 6 percent slopes; eroded,4.3,15.77,0,NA,0,7.11,35.58,11.64,52.78,1.57,2.72,0.64,3.07,0.13,None,None,Moderately well drained,13.16,sil,sil,17.84,152
183424,QUE001728,41.82069,-88.05,147,IL043,530D2,Ozaukee silt loam; 6 to 12 percent slopes; eroded,5.95,15.28,0,NA,0,6.9,33.9,12.13,53.97,1.58,2.67,0.65,3.78,0.14,None,None,Moderately well drained,13.72,sil,sil,18.38,NA
186213,QUE000128,41.864917,-86.35075,136,MI021,W,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186292,QUE002313,41.86308,-85.74551,137,MI149,5C,Spinks loamy sand; 6 to 12 percent slopes,0,2.41,0.05,NA,0,6.06,4.01,86.38,9.6,1.66,0.25,0.44,55,0.08,None,None,Well drained,8.81,ls,ls,17.5,203
186292,QUE002319,41.86398,-85.74573,137,MI149,5C,Spinks loamy sand; 6 to 12 percent slopes,0,2.41,0.05,NA,0,6.06,4.01,86.38,9.6,1.66,0.25,0.44,55,0.08,None,None,Well drained,8.81,ls,ls,17.5,203
186292,QUE002315,41.86175,-85.74576,137,MI149,5C,Spinks loamy sand; 6 to 12 percent slopes,0,2.41,0.05,NA,0,6.06,4.01,86.38,9.6,1.66,0.25,0.44,55,0.08,None,None,Well drained,8.81,ls,ls,17.5,203
186293,QUE002324,41.86993,-85.74568,137,MI149,5D,Spinks loamy sand; 12 to 18 percent slopes,0,2.35,0.05,NA,0,6.06,4.01,86.45,9.54,1.66,0.25,0.42,55,0.08,None,None,Well drained,8.7,ls,ls,17.37,203
186406,QUE002360,42.79514,-84.39266,127,MI037,W,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186526,QUE002335,43.85714,-83.92524,135,MI017,13,Belleville loamy sand,0,2.12,0,NA,0,6.36,5.72,85.83,8.45,1.47,0.38,1.64,83.74,0.09,Frequent,None,Poorly drained,9.47,ls,ls,27.95,203
186541,QUE002326,43.85323,-83.923,135,MI017,55,Aquents; sandy and loamy,0,5.1,0,NA,0,5.9,7,91.7,1.3,1.53,0.5,0.25,92,0.06,Frequent,None,Very poorly drained,6,fs,fs,12.18,203
186545,QUE002331,43.84822,-83.92385,135,MI017,59,Tobico fine sand,0.15,4.3,0,NA,0,6.88,5,94.4,0.6,1.46,0.42,1.2,91.74,0.1,Frequent,None,Poorly drained,9.95,fs,fs,16.37,203
186745,QUE002355,42.76662,-84.39114,127,MI065,OtB,Oshtemo-Spinks loamy sands; 0 to 6 percent slopes,0,5.98,0,NA,0,6.31,8.87,79.73,11.4,1.5,1.5,0.81,58.74,0.1,None,None,Well drained,10.7,ls,ls,14.16,152
186746,QUE002351,42.76807,-84.39044,127,MI065,OtC,Oshtemo-Spinks loamy sands; 6 to 12 percent slopes,0,5.97,0,NA,0,6.31,9.3,79.19,11.51,1.5,1.5,0.73,55.16,0.11,None,None,Well drained,10.77,ls,ls,13.9,152
186749,QUE002346,42.76774,-84.39124,127,MI065,PmsacA,Palms muck; 0 to 1 percent slopes,1.45,72.18,0.46,NA,0,7.4,10,25,65,0.71,0.7,32.6,9.41,0.34,Frequent,None,Very poorly drained,33.63,muck,sil,55.08,203
186749,QUE002347,42.76743,-84.3908,127,MI065,PmsacA,Palms muck; 0 to 1 percent slopes,1.45,72.18,0.46,NA,0,7.4,10,25,65,0.71,0.7,32.6,9.41,0.34,Frequent,None,Very poorly drained,33.63,muck,sil,55.08,203
186749,QUE002362,42.76512,-84.38236,127,MI065,PmsacA,Palms muck; 0 to 1 percent slopes,1.45,72.18,0.46,NA,0,7.4,10,25,65,0.71,0.7,32.6,9.41,0.34,Frequent,None,Very poorly drained,33.63,muck,sil,55.08,203
186749,QUE002361,42.76526,-84.38254,127,MI065,PmsacA,Palms muck; 0 to 1 percent slopes,1.45,72.18,0.46,NA,0,7.4,10,25,65,0.71,0.7,32.6,9.41,0.34,Frequent,None,Very poorly drained,33.63,muck,sil,55.08,203
186759,QUE002356,42.76512,-84.38902,127,MI065,ThA,Thetford loamy sand; 0 to 3 percent slopes,0,4.5,0,NA,0,6.62,8.81,87.78,3.41,1.51,1.5,0.81,34.5,0.08,None,None,Somewhat poorly drained,8.87,ls,ls,13.4,152
191650,QUE002341,42.30153,-83.75108,129,MI161,MmF,Miami loam; 25 to 35 percent slopes,3.6,13.94,0,NA,0,6.44,25.14,38.58,36.28,1.51,2.94,0.56,7.49,0.19,None,None,Well drained,18,l,l,26.01,152
191650,QUE002339,42.30204,-83.75024,129,MI161,MmF,Miami loam; 25 to 35 percent slopes,3.6,13.94,0,NA,0,6.44,25.14,38.58,36.28,1.51,2.94,0.56,7.49,0.19,None,None,Well drained,18,l,l,26.01,152
191668,QUE002342,42.30881,-83.75718,129,MI161,Sb,Sebewa loam; disintegration moraine; 0 to 2 percent slopes,3.15,19.31,0,NA,0,7.05,23.94,50.91,25.15,1.5,3.04,1.64,21.56,0.15,Frequent,None,Poorly drained,14.8,l,l,17.86,NA
191668,QUE002338,42.30404,-83.74966,129,MI161,Sb,Sebewa loam; disintegration moraine; 0 to 2 percent slopes,3.15,19.31,0,NA,0,7.05,23.94,50.91,25.15,1.5,3.04,1.64,21.56,0.15,Frequent,None,Poorly drained,14.8,l,l,17.86,NA
191668,QUE002336,42.30836,-83.75671,129,MI161,Sb,Sebewa loam; disintegration moraine; 0 to 2 percent slopes,3.15,19.31,0,NA,0,7.05,23.94,50.91,25.15,1.5,3.04,1.64,21.56,0.15,Frequent,None,Poorly drained,14.8,l,l,17.86,NA
191687,QUE002337,42.30474,-83.7508,129,MI161,WaA,Wasepi sandy loam; 0 to 4 percent slopes,0.8,5.82,0,NA,0,6.77,10.47,72.65,16.88,1.37,1.5,0.88,54.4,0.12,None,None,Somewhat poorly drained,12.11,sl,sl,13.75,152
198805,QUE001360,41.7895934,-88.272206,143,IL089,152A,Drummer silty clay loam; 0 to 2 percent slopes,0,26.8,0,NA,0,6.7,31,8,61,1.32,4,2.75,9.17,0.17,Frequent,None,Poorly drained,17.39,sicl,sicl,28.59,152
198805,QUE001359,41.7905251,-88.266149,141,IL089,152A,Drummer silty clay loam; 0 to 2 percent slopes,0,26.8,0,NA,0,6.7,31,8,61,1.32,4,2.75,9.17,0.17,Frequent,None,Poorly drained,17.39,sicl,sicl,28.59,152
198818,QUE001353,41.7871378,-88.272995,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001355,41.7871378,-88.272995,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001356,41.7873037,-88.273141,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001357,41.7873037,-88.273045,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001354,41.7871378,-88.272995,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
198818,QUE001361,41.7872724,-88.271006,143,IL089,219A,Millbrook silt loam; 0 to 2 percent slopes,0,17.41,NA,15.2,0,5.66,25.9,19.54,54.56,1.55,2.58,0.94,9.17,0.19,None,None,Somewhat poorly drained,19.18,sil,sil,38.12,165
199539,QUE002084,37.51726,-89.44584,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
199539,QUE002082,37.51639,-89.44535,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
199539,QUE002083,37.51651,-89.44542,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
199539,QUE002081,37.51492,-89.4445,174,IL181,8085A,Jacob silty clay; 0 to 2 percent slopes; occasionally flooded,0,51.7,0,39,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,sic,sic,24.36,203
200200,QUE002072,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002073,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002074,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002075,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
200200,QUE002076,39.839311,-88.367745,157,IL041,618F,Senachwine silt loam; 18 to 35 percent slopes,6.2,13.82,0.2,NA,0,6.76,26.26,30.17,43.57,1.57,2.44,0.57,7.01,0.13,None,None,Well drained,13.51,sil,sil,18.99,152
272444,QUE002110,41.53273,-87.2948,154,IN089,BlA,Blount silt loam; Lake Michigan Lobe; 0 to 2 percent slopes,6.7,14.11,0,12.5,0,6.63,32.07,14.01,53.92,1.51,2.94,0.81,4.11,0.15,None,None,Somewhat poorly drained,14.45,sil,sil,18.67,NA
272444,QUE002114,41.53403,-87.29146,154,IN089,BlA,Blount silt loam; Lake Michigan Lobe; 0 to 2 percent slopes,6.7,14.11,0,12.5,0,6.63,32.07,14.01,53.92,1.51,2.94,0.81,4.11,0.15,None,None,Somewhat poorly drained,14.45,sil,sil,18.67,NA
272444,QUE002119,41.53239,-87.29708,154,IN089,BlA,Blount silt loam; Lake Michigan Lobe; 0 to 2 percent slopes,6.7,14.11,0,12.5,0,6.63,32.07,14.01,53.92,1.51,2.94,0.81,4.11,0.15,None,None,Somewhat poorly drained,14.45,sil,sil,18.67,NA
276600,QUE002132,42.1665869,-73.412025,122,MA003,272A,Hoosic gravelly fine sandy loam; 0 to 3 percent slopes,0,NA,0,6.16,0,5.17,3.79,80.56,15.65,1.47,1.5,0.95,113.83,0.05,None,None,Somewhat excessively drained,5.49,gr-fsl,gr-fsl,7.57,163
276600,QUE002133,42.1666494,-73.41209,122,MA003,272A,Hoosic gravelly fine sandy loam; 0 to 3 percent slopes,0,NA,0,6.16,0,5.17,3.79,80.56,15.65,1.47,1.5,0.95,113.83,0.05,None,None,Somewhat excessively drained,5.49,gr-fsl,gr-fsl,7.57,163
279234,QUE002161,44.7174297,-73.32585,135,VT013,BeB,Benson rocky silt loam; over shaly limestone; 3 to 8 percent slopes,0,10.86,0,NA,0,6.92,20,26.5,53.5,1.51,1.5,2.03,6.76,0.13,None,None,Somewhat excessively drained,7.15,sil,sil,8.17,NA
