mukey,ind_ID,lat,long,ffd,areasymbol,musym,muname,caco3_r,cec7_r,ec_r,ecec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,surf_texture,min_surf_texture,total_aws,avg_soildepth
279244,QUE002164,44.7473055,-73.31218,135,VT013,CbA,Covington silty clay loam; 0 to 3 percent slopes,0,24.69,0,NA,0,6.78,67,9.3,23.7,1.36,7.5,2.61,0.31,0.12,None,None,Poorly drained,11.51,sicl,sicl,17.32,165
279245,QUE002160,44.6675241,-73.344894,135,VT013,CbB,Covington silty clay loam; 3 to 8 percent slopes,0,24.69,0,NA,0,6.78,67,9.3,23.7,1.36,7.5,2.61,0.31,0.12,None,None,Poorly drained,11.51,sicl,sicl,17.32,165
281273,QUE002150,44.2339356,-73.243122,135,VT001,Lh,Livingston clay,0,28.52,0,NA,0,6.51,72.75,8.12,19.13,1.37,4.5,2.55,1.09,0.11,None,None,Very poorly drained,11.65,c,c,17.75,157
281273,QUE002148,44.2343287,-73.243211,135,VT001,Lh,Livingston clay,0,28.52,0,NA,0,6.51,72.75,8.12,19.13,1.37,4.5,2.55,1.09,0.11,None,None,Very poorly drained,11.65,c,c,17.75,157
281287,QUE002141,43.9166704,-73.19356,122,VT001,Mv,Muck and Peat,0.35,131.58,0,NA,0,7,6.04,66.99,26.97,0.33,1.5,67.67,22.21,0.38,Frequent,None,Very poorly drained,36.98,muck,sil,54.22,160
281316,QUE002143,43.951352,-73.222777,123,VT001,VgB,Vergennes clay; 2 to 6 percent slopes,0,26.64,0,NA,0,6.86,72.53,8.67,18.8,1.37,4.5,1.4,0.82,0.11,None,None,Moderately well drained,10.69,c,c,16.46,165
281316,QUE002147,44.0059347,-73.148044,122,VT001,VgB,Vergennes clay; 2 to 6 percent slopes,0,26.64,0,NA,0,6.86,72.53,8.67,18.8,1.37,4.5,1.4,0.82,0.11,None,None,Moderately well drained,10.69,c,c,16.46,165
281316,QUE002149,44.2354233,-73.243422,135,VT001,VgB,Vergennes clay; 2 to 6 percent slopes,0,26.64,0,NA,0,6.86,72.53,8.67,18.8,1.37,4.5,1.4,0.82,0.11,None,None,Moderately well drained,10.69,c,c,16.46,165
281409,QUE002136,42.909897,-73.218712,130,VT003,18C,Windsor loamy sand; 8 to 15 percent slopes,0,0.1,0,2.17,0,5.24,0.78,86.95,12.27,1.45,0.08,4.24,100,0.09,None,None,Excessively drained,8.4,mpm,ls,10.9,165
281409,QUE002135,42.910269,-73.219522,130,VT003,18C,Windsor loamy sand; 8 to 15 percent slopes,0,0.1,0,2.17,0,5.24,0.78,86.95,12.27,1.45,0.08,4.24,100,0.09,None,None,Excessively drained,8.4,mpm,ls,10.9,165
281409,QUE002134,42.9102876,-73.219556,130,VT003,18C,Windsor loamy sand; 8 to 15 percent slopes,0,0.1,0,2.17,0,5.24,0.78,86.95,12.27,1.45,0.08,4.24,100,0.09,None,None,Excessively drained,8.4,mpm,ls,10.9,165
281687,QUE002157,44.44643,-73.220373,135,VT007,EwA,Enosburg and Whately soils; 0 to 3 percent slopes,0,8.64,0,NA,0,6.31,15.35,55.55,29.1,1.56,2.41,1.54,43.69,0.13,None,None,Poorly drained,13.46,fsl,fsl,23.65,165
281687,QUE002155,44.4463947,-73.220154,135,VT007,EwA,Enosburg and Whately soils; 0 to 3 percent slopes,0,8.64,0,NA,0,6.31,15.35,55.55,29.1,1.56,2.41,1.54,43.69,0.13,None,None,Poorly drained,13.46,fsl,fsl,23.65,165
281712,QUE002158,44.5802303,-73.163558,134,VT007,HnB,Hinesburg fine sandy loam; 3 to 8 percent slopes,0,3.99,0,NA,0,6.13,4.88,72.7,22.41,1.42,1.5,1.61,65.94,0.12,None,None,Well drained,11.74,fsl,fsl,23.63,165
281733,QUE002159,44.5792499,-73.165539,134,VT007,MuD,Munson and Belgrade silt loams; 12 to 25 percent slopes,0,12.4,0,NA,0,6.35,21.55,37.05,41.4,1.37,2.45,1.69,6.36,0.17,None,None,Moderately well drained,16.56,sil,sil,24.85,158
281761,QUE002151,44.2643368,-73.249727,137,VT007,VeB,Vergennes clay; 2 to 6 percent slopes,0,25.53,0,NA,0,7.05,72.52,8.68,18.8,1.37,4.5,1.29,0.77,0.11,None,None,Moderately well drained,10.71,c,c,16.32,165
281761,QUE002154,44.4006814,-73.23757,135,VT007,VeB,Vergennes clay; 2 to 6 percent slopes,0,25.53,0,NA,0,7.05,72.52,8.68,18.8,1.37,4.5,1.29,0.77,0.11,None,None,Moderately well drained,10.71,c,c,16.32,165
281761,QUE002153,44.4001175,-73.237528,135,VT007,VeB,Vergennes clay; 2 to 6 percent slopes,0,25.53,0,NA,0,7.05,72.52,8.68,18.8,1.37,4.5,1.29,0.77,0.11,None,None,Moderately well drained,10.71,c,c,16.32,165
282264,QUE002139,43.5836123,-73.202578,122,VT021,24,Pinnebog muck,0,136.5,0,NA,0,NA,5,70,25,0.33,NA,65,23.28,0.41,Frequent,None,Very poorly drained,39.37,muck,ls,62.3,152
282264,QUE002140,43.7432343,-73.04841,128,VT021,24,Pinnebog muck,0,136.5,0,NA,0,NA,5,70,25,0.33,NA,65,23.28,0.41,Frequent,None,Very poorly drained,39.37,muck,ls,62.3,152
282441,QUE002138,43.604683,-73.180401,129,VT021,71A,Castile gravelly fine sandy loam; 0 to 3 percent slopes,0,6.87,0,NA,0,6,8.31,71.89,19.8,1.42,1.5,2.37,48.82,0.07,None,None,Moderately well drained,7.24,gr-fsl,gr-fsl,8.4,152
282441,QUE002137,43.6034268,-73.181065,129,VT021,71A,Castile gravelly fine sandy loam; 0 to 3 percent slopes,0,6.87,0,NA,0,6,8.31,71.89,19.8,1.42,1.5,2.37,48.82,0.07,None,None,Moderately well drained,7.24,gr-fsl,gr-fsl,8.4,152
285938,QUE002129,41.9623302,-73.313005,129,CT600,107,Limerick and Lim soils,0,4.24,0,NA,0,6.35,6.35,44.49,49.16,1.32,1.5,0.88,17.09,0.17,None,Frequent,Poorly drained,16.93,sil,sil,27.27,165
285946,QUE002130,42.0161441,-73.335343,129,CT600,17,Timakwa and Natchaug soils; 0 to 2 percent slopes,0,140.99,0,NA,0,6.36,7.76,56.71,35.53,0.28,0.53,74.13,12.44,0.37,Frequent,Rare,Very poorly drained,33.87,muck,grv-lcos,42.08,174
381887,QUE001894,35.44376,-98.35451,193,OK015,Gm,Gracemont and Ezell soils; 0 to 1 percent slopes; frequently flooded,5.35,8.32,2.13,NA,1.94,8.04,11.95,71,17.06,1.53,1.5,0.6,44.66,0.13,None,Frequent,Somewhat poorly drained,13.44,fsl,fsl,23.89,177
381887,QUE001893,35.44809,-98.35347,193,OK015,Gm,Gracemont and Ezell soils; 0 to 1 percent slopes; frequently flooded,5.35,8.32,2.13,NA,1.94,8.04,11.95,71,17.06,1.53,1.5,0.6,44.66,0.13,None,Frequent,Somewhat poorly drained,13.44,fsl,fsl,23.89,177
381887,QUE001886,35.45351,-98.35412,193,OK015,Gm,Gracemont and Ezell soils; 0 to 1 percent slopes; frequently flooded,5.35,8.32,2.13,NA,1.94,8.04,11.95,71,17.06,1.53,1.5,0.6,44.66,0.13,None,Frequent,Somewhat poorly drained,13.44,fsl,fsl,23.89,177
381905,QUE001902,35.43854,-98.35497,193,OK015,NoD,Noble fine sandy loam; 3 to 8 percent slopes,0,8.5,0,NA,0,6.5,14,66.1,19.9,1.47,1.5,0.75,28.22,0.15,None,None,Well drained,14.44,fsl,fsl,26.18,183
381905,QUE001900,35.43874,-98.35495,193,OK015,NoD,Noble fine sandy loam; 3 to 8 percent slopes,0,8.5,0,NA,0,6.5,14,66.1,19.9,1.47,1.5,0.75,28.22,0.15,None,None,Well drained,14.44,fsl,fsl,26.18,183
381905,QUE001898,35.44085,-98.35471,193,OK015,NoD,Noble fine sandy loam; 3 to 8 percent slopes,0,8.5,0,NA,0,6.5,14,66.1,19.9,1.47,1.5,0.75,28.22,0.15,None,None,Well drained,14.44,fsl,fsl,26.18,183
382099,QUE001904,35.17705,-97.44921,195,OK027,32,Lomill silty clay; 0 to 1 percent slopes; occasionally flooded,0,25.9,0,NA,0,8.1,43.93,7.43,48.64,1.46,6.66,1.16,4.37,0.15,None,Occasional,Somewhat poorly drained,14.9,sic,sic,30.21,152
382099,QUE001912,35.17722,-97.45003,195,OK027,32,Lomill silty clay; 0 to 1 percent slopes; occasionally flooded,0,25.9,0,NA,0,8.1,43.93,7.43,48.64,1.46,6.66,1.16,4.37,0.15,None,Occasional,Somewhat poorly drained,14.9,sic,sic,30.21,152
382161,QUE001907,35.17688,-97.4497,195,OK027,97,Canadian fine sandy loam; 1 to 3 percent slopes; rarely flooded,0,7.38,0,NA,0,7.02,12.12,65.72,22.15,1.54,1.5,1.32,42.55,0.14,None,Rare,Well drained,13.02,fsl,fsl,21.84,163
393399,QUE001444,30.076389,-97.181667,221,TX021,AtD,Edge gravelly fine sandy loam; 3 to 8 percent slopes,0.19,17.7,1,NA,0,5.68,33.56,53.94,12.5,1.51,4.95,0.7,2.14,0.13,None,None,Well drained,13.43,gr-fsl,gr-fsl,28.44,203
393399,QUE001451,30.076389,-97.181667,221,TX021,AtD,Edge gravelly fine sandy loam; 3 to 8 percent slopes,0.19,17.7,1,NA,0,5.68,33.56,53.94,12.5,1.51,4.95,0.7,2.14,0.13,None,None,Well drained,13.43,gr-fsl,gr-fsl,28.44,203
393399,QUE001452,30.076389,-97.181667,221,TX021,AtD,Edge gravelly fine sandy loam; 3 to 8 percent slopes,0.19,17.7,1,NA,0,5.68,33.56,53.94,12.5,1.51,4.95,0.7,2.14,0.13,None,None,Well drained,13.43,gr-fsl,gr-fsl,28.44,203
395967,QUE002590,45.38953,-93.19485,124,MN003,SbC,Sartell fine sand; 6 to 12 percent slopes,0,2.19,0,NA,0,5.88,2.69,96.72,0.59,1.58,1.5,0.49,92,0.07,None,None,Excessively drained,6.89,fs,fs,10.01,152
396888,QUE002601,44.86798,-93.03203,148,MN037,857A,Urban land-Waukegan complex; 0 to 1 percent slopes,0,12.63,0,NA,0,6.44,17.57,33.69,48.74,1.49,1.5,1.42,33.07,0.16,None,None,NA,16.44,sil,sil,18,152
398415,QUE002608,45.4222222,-93.188056,124,MN059,Zu,Zimmerman fine sand; 1 to 6 percent slopes,0,2.9,0,NA,0,6.02,2.2,93.16,4.64,1.62,0.22,0.69,282,0.08,None,None,Somewhat excessively drained,8.02,fs,fs,15.27,203
398959,QUE002595,44.2244444,-93.528333,129,MN079,414,Hamel loam; 0 to 2 percent slopes,0,22.62,0,NA,0,6.5,26.81,36.58,36.61,1.29,3.26,4.14,6.69,0.19,None,None,Poorly drained,19.29,l,l,34.91,200
398973,QUE002427,44.36388,-93.93543,137,MN079,944C,Lester-Hawick-Storden complex; 6 to 12 percent slopes,5.21,11.26,0,NA,0,7.03,17.39,55.95,26.66,1.49,2.98,1.05,68.74,0.13,None,None,Well drained,13.13,l,l,18.99,152
398973,QUE002424,44.36388,-93.93543,137,MN079,944C,Lester-Hawick-Storden complex; 6 to 12 percent slopes,5.21,11.26,0,NA,0,7.03,17.39,55.95,26.66,1.49,2.98,1.05,68.74,0.13,None,None,Well drained,13.13,l,l,18.99,152
398973,QUE002430,44.36413,-93.93551,137,MN079,944C,Lester-Hawick-Storden complex; 6 to 12 percent slopes,5.21,11.26,0,NA,0,7.03,17.39,55.95,26.66,1.49,2.98,1.05,68.74,0.13,None,None,Well drained,13.13,l,l,18.99,152
400425,QUE002637,43.68836,-92.92859,134,MN099,1841,Hayfield loam; loamy substratum,0.87,10.96,0,NA,0,6.02,17.46,54.29,28.24,1.5,1.5,1.06,33.07,0.15,None,None,Somewhat poorly drained,14.87,l,l,19.35,152
400433,QUE002634,43.68461,-92.92134,134,MN099,1974,Coland; frequently flooded-Spillville; occasionally flooded complex; 0 to 2 percent slopes,0,22.55,0.1,NA,0,6.48,26.44,33.78,39.78,1.32,3.75,4.15,5.67,0.13,None,Frequent,Poorly drained,12.92,cl,cl,26.56,200
400433,QUE002641,43.68531,-92.92292,134,MN099,1974,Coland; frequently flooded-Spillville; occasionally flooded complex; 0 to 2 percent slopes,0,22.55,0.1,NA,0,6.48,26.44,33.78,39.78,1.32,3.75,4.15,5.67,0.13,None,Frequent,Poorly drained,12.92,cl,cl,26.56,200
400464,QUE002638,43.677,-92.93769,134,MN099,465,Kalmarville loam; frequently flooded,2,11.15,0,NA,0,7.3,14.25,63.68,22.07,1.44,1.5,0.75,23.25,0.17,None,Frequent,Poorly drained,18.54,l,l,56.36,152
400464,QUE002647,43.677,-92.93769,134,MN099,465,Kalmarville loam; frequently flooded,2,11.15,0,NA,0,7.3,14.25,63.68,22.07,1.44,1.5,0.75,23.25,0.17,None,Frequent,Poorly drained,18.54,l,l,56.36,152
400470,QUE002631,43.68481,-92.92696,134,MN099,516A,Dowagiac loam; 0 to 2 percent slopes,0,7.48,0,NA,0,6.13,19.43,53.18,27.4,1.53,2.97,0.45,31.2,0.12,None,None,Well drained,12.62,l,l,14.23,152
411278,QUE001800,42.02883,-93.63142,136,IA169,1314,Hanlon-Spillville complex; channeled; 0 to 2 percent slopes,0,19.95,0,NA,0,6.5,17.33,57.3,25.37,1.5,2.5,3.16,21.67,0.18,None,Frequent,Moderately well drained,18.21,fsl,fsl,27.57,152
411278,QUE002615,42.036203,-93.639256,136,IA169,1314,Hanlon-Spillville complex; channeled; 0 to 2 percent slopes,0,19.95,0,NA,0,6.5,17.33,57.3,25.37,1.5,2.5,3.16,21.67,0.18,None,Frequent,Moderately well drained,18.21,fsl,fsl,27.57,152
411278,QUE001792,42.02917,-93.6293,136,IA169,1314,Hanlon-Spillville complex; channeled; 0 to 2 percent slopes,0,19.95,0,NA,0,6.5,17.33,57.3,25.37,1.5,2.5,3.16,21.67,0.18,None,Frequent,Moderately well drained,18.21,fsl,fsl,27.57,152
411285,QUE001796,42.03033,-93.632,136,IA169,1585,Spillville-Coland complex; channeled; 0 to 2 percent slopes,0,29.16,0,NA,0,6.57,24.87,34.42,40.71,1.48,4.46,4.66,7,0.2,None,Frequent,Moderately well drained,20.08,l,l,29.73,152
411285,QUE002616,42.030898,-93.632418,136,IA169,1585,Spillville-Coland complex; channeled; 0 to 2 percent slopes,0,29.16,0,NA,0,6.57,24.87,34.42,40.71,1.48,4.46,4.66,7,0.2,None,Frequent,Moderately well drained,20.08,l,l,29.73,152
411320,QUE002617,42.023609,-93.633087,136,IA169,485,Spillville loam; 0 to 2 percent slopes; occasionally flooded,0,20.35,0,NA,0,6.7,24,40,36,1.34,3.1,2.73,9.17,0.19,None,Occasional,Somewhat poorly drained,18.85,l,l,35.87,200
413086,QUE001817,40.70648,-91.79381,165,IA177,425D,Keswick loam; 9 to 14 percent slopes,0,17.82,1,27.9,0,5.61,36.31,30.85,32.84,1.47,5.71,0.96,4.12,0.16,None,None,Somewhat poorly drained,16.12,l,l,30.17,NA
413090,QUE001819,40.70481,-91.79589,165,IA177,432D,Gorin silt loam; 9 to 14 percent slopes,0,14.18,0,24,0,5.5,38.87,13.6,47.52,1.37,5.5,0.83,2.66,0.17,None,None,Somewhat poorly drained,16.86,sil,sil,30.86,203
413152,QUE001816,40.70627,-91.79392,165,IA177,65G,Lindley loam; 25 to 40 percent slopes,1.2,21.4,1,NA,0,6.09,30.37,39.14,30.49,1.49,3.72,0.95,4.2,0.17,None,None,Well drained,15.42,l,l,30.77,200
413152,QUE001815,40.70625,-91.79392,165,IA177,65G,Lindley loam; 25 to 40 percent slopes,1.2,21.4,1,NA,0,6.09,30.37,39.14,30.49,1.49,3.72,0.95,4.2,0.17,None,None,Well drained,15.42,l,l,30.77,200
413152,QUE001814,40.7056,-91.79416,165,IA177,65G,Lindley loam; 25 to 40 percent slopes,1.2,21.4,1,NA,0,6.09,30.37,39.14,30.49,1.49,3.72,0.95,4.2,0.17,None,None,Well drained,15.42,l,l,30.77,200
424561,QUE002369,43.02128,-90.11695,134,WI049,DsC2,Newglarus silt loam; moderately deep; 6 to 12 percent slopes; moderately eroded,0,28.73,0,NA,0,6.54,39.05,10.08,50.87,1.35,5.48,0.62,4.94,0.17,None,None,Well drained,14.7,sil,sil,14.93,1
424561,QUE002368,43.01993,-90.11587,125,WI049,DsC2,Newglarus silt loam; moderately deep; 6 to 12 percent slopes; moderately eroded,0,28.73,0,NA,0,6.54,39.05,10.08,50.87,1.35,5.48,0.62,4.94,0.17,None,None,Well drained,14.7,sil,sil,14.93,1
424561,QUE002379,43.02037,-90.11654,125,WI049,DsC2,Newglarus silt loam; moderately deep; 6 to 12 percent slopes; moderately eroded,0,28.73,0,NA,0,6.54,39.05,10.08,50.87,1.35,5.48,0.62,4.94,0.17,None,None,Well drained,14.7,sil,sil,14.93,1
424571,QUE002365,43.01642,-90.11423,125,WI049,DtC2,Palsgrove silt loam; 6 to 12 percent slopes; moderately eroded,0,22.6,0,NA,0,6.27,28.5,7.5,64,1.38,3.92,0.86,9,0.2,None,None,Well drained,19.89,sil,sil,24.57,1
424571,QUE002366,43.01676,-90.11419,125,WI049,DtC2,Palsgrove silt loam; 6 to 12 percent slopes; moderately eroded,0,22.6,0,NA,0,6.27,28.5,7.5,64,1.38,3.92,0.86,9,0.2,None,None,Well drained,19.89,sil,sil,24.57,1
424571,QUE002364,43.01643,-90.11418,125,WI049,DtC2,Palsgrove silt loam; 6 to 12 percent slopes; moderately eroded,0,22.6,0,NA,0,6.27,28.5,7.5,64,1.38,3.92,0.86,9,0.2,None,None,Well drained,19.89,sil,sil,24.57,1
424571,QUE002383,43.01563,-90.11357,125,WI049,DtC2,Palsgrove silt loam; 6 to 12 percent slopes; moderately eroded,0,22.6,0,NA,0,6.27,28.5,7.5,64,1.38,3.92,0.86,9,0.2,None,None,Well drained,19.89,sil,sil,24.57,1
424708,QUE002371,43.02073,-90.11771,125,WI049,SoD2,Sogn and Dodgeville silt loams; shallow; 12 to 20 percent slopes; moderately eroded,8.57,22.06,NA,NA,0,7.03,26.34,22.49,51.16,1.32,2.48,2.92,16.2,0.19,None,None,Somewhat excessively drained,7.05,sil,sil,7.05,203
424708,QUE002373,43.0193,-90.11692,125,WI049,SoD2,Sogn and Dodgeville silt loams; shallow; 12 to 20 percent slopes; moderately eroded,8.57,22.06,NA,NA,0,7.03,26.34,22.49,51.16,1.32,2.48,2.92,16.2,0.19,None,None,Somewhat excessively drained,7.05,sil,sil,7.05,203
425812,QUE002400,43.01607,-88.43513,138,WI602,CeB,Casco loam; 2 to 6 percent slopes,7.87,8.97,0.1,0,0,7.53,10.92,69.87,19.21,1.55,1.15,0.6,164.71,0.09,None,None,Somewhat excessively drained,9.33,l,l,17.04,200
425812,QUE002399,43.01706,-88.43531,138,WI602,CeB,Casco loam; 2 to 6 percent slopes,7.87,8.97,0.1,0,0,7.53,10.92,69.87,19.21,1.55,1.15,0.6,164.71,0.09,None,None,Somewhat excessively drained,9.33,l,l,17.04,200
425812,QUE002392,43.01792,-88.43778,138,WI602,CeB,Casco loam; 2 to 6 percent slopes,7.87,8.97,0.1,0,0,7.53,10.92,69.87,19.21,1.55,1.15,0.6,164.71,0.09,None,None,Somewhat excessively drained,9.33,l,l,17.04,200
425817,QUE002385,43.01574,-88.44255,138,WI602,CrD,Casco-Rodman complex; 12-20 percent slopes,12.5,7.04,0.1,NA,NA,7.43,10.8,58.82,27.8,1.54,2.13,0.64,89.87,0.08,None,None,Well drained,8.18,l,l,13.12,152
425860,QUE002393,43.01838,-88.43741,138,WI602,JuA,Juneau silt loam; 1 to 3 percent slopes,0,13.4,0.1,NA,NA,6.7,15.8,13.02,71.18,1.32,2.82,1.34,9,0.21,None,Occasional,Well drained,20.92,sil,sil,29.32,152
425907,QUE002384,43.01546,-88.44251,138,WI602,PrA,Pistakee silt loam; 1 to 3 percent slopes,0,20.88,0.1,NA,NA,6.7,18.92,11.9,69.18,1.33,1.5,4.87,9,0.21,Occasional,Occasional,Somewhat poorly drained,20.54,sil,sil,36.94,152
428071,QUE002443,45.53088,-94.23989,129,MN145,1064,Rock outcrop-Lithic Eutrochrepts complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,NA,NA,NA,NA,NA,NA
428071,QUE002436,45.52997,-94.23644,129,MN145,1064,Rock outcrop-Lithic Eutrochrepts complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,NA,NA,NA,NA,NA,NA
428086,QUE002433,45.53,-94.23291,129,MN145,163B,Brainerd fine sandy loam; 1 to 4 percent slopes,0,7.87,0,NA,0,5.73,11.69,65,23.31,1.59,1.5,0.67,14.36,0.13,None,None,Moderately well drained,13.06,fsl,fsl,18.02,NA
429016,QUE001940,43.90232,-91.63887,133,MN169,198D,Rollingstone silt loam; 12 to 20 percent slopes,0,12.52,0,36,0,5.29,57.42,13.35,29.22,1.36,3.75,0.75,3,0.15,None,None,Well drained,14.75,sil,sil,20.99,152
429045,QUE001947,43.89142,-91.64893,129,MN169,388E,Churchtown silt loam; 20 to 30 percent slopes; moderately eroded,0,17.62,0,NA,0,6.2,21.81,13.17,65.02,1.47,2.51,0.8,9.17,0.2,None,None,Well drained,20.21,sil,sil,40.46,200
429045,QUE001943,43.89158,-91.64829,129,MN169,388E,Churchtown silt loam; 20 to 30 percent slopes; moderately eroded,0,17.62,0,NA,0,6.2,21.81,13.17,65.02,1.47,2.51,0.8,9.17,0.2,None,None,Well drained,20.21,sil,sil,40.46,200
429076,QUE001938,43.903,-91.63986,133,MN169,584F,Lamoille-Dorerton silt loams; 30 to 45 percent slopes,0,15.66,0,NA,0,6.54,24.55,39.71,35.74,1.38,2.66,1.05,9.8,0.14,None,None,Well drained,14.24,sil,sil,18.34,152
429076,QUE001937,43.90292,-91.63996,133,MN169,584F,Lamoille-Dorerton silt loams; 30 to 45 percent slopes,0,15.66,0,NA,0,6.54,24.55,39.71,35.74,1.38,2.66,1.05,9.8,0.14,None,None,Well drained,14.24,sil,sil,18.34,152
429660,QUE002599,44.2261111,-93.471944,131,MN131,414,Hamel loam; 0 to 2 percent slopes,0,22.62,0,NA,0,6.5,26.81,36.58,36.61,1.29,3.26,4.14,6.69,0.19,None,None,Poorly drained,19.29,l,l,34.91,200
435226,QUE002453,44.97771,-93.23801,148,MN053,U4A,Urban land-Udipsamments (cut and fill land) complex; 0 to 2 percent slopes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,NA,NA,NA,NA,NA,NA
535199,QUE002092,38.73651,-86.41478,151,IN093,W,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535199,QUE002086,38.73625,-86.41245,154,IN093,W,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565498,QUE001463,34.933333,-92.414722,198,AR045,22,Muskogee silty clay loam; 3 to 8 percent slopes; severely eroded,0,42.5,0,20.59,0,5.74,38.7,6.18,55.12,1.34,5.97,0.38,1.87,0.18,None,None,Moderately well drained,17.66,sicl,sicl,33.34,198
