ind_ID,collectionDate
QUE000128,7/30/12
QUE000136,5/24/12
QUE000322,5/11/12
QUE001333,7/2/15
QUE001334,7/2/15
QUE001335,7/2/15
QUE001336,7/2/15
QUE001337,7/2/15
QUE001338,7/2/15
QUE001339,7/2/15
QUE001340,7/2/15
QUE001341,7/2/15
QUE001342,7/2/15
QUE001343,7/2/15
QUE001344,7/2/15
QUE001345,7/2/15
QUE001346,7/2/15
QUE001347,7/3/15
QUE001348,7/3/15
QUE001349,7/3/15
QUE001350,7/3/15
QUE001351,7/3/15
QUE001352,7/3/15
QUE001353,
QUE001354,
QUE001355,
QUE001356,
QUE001357,
QUE001359,
QUE001360,
QUE001361,
QUE001362,7/27/15
QUE001363,7/27/15
QUE001364,7/27/15
QUE001365,7/27/15
QUE001366,7/28/15
QUE001367,7/28/15
QUE001368,7/28/15
QUE001369,7/28/15
QUE001370,7/28/15
QUE001371,7/28/15
QUE001372,7/28/15
QUE001373,7/28/15
QUE001374,7/29/15
QUE001375,7/29/15
QUE001376,7/29/15
QUE001377,7/29/15
QUE001378,7/29/15
QUE001379,7/29/15
QUE001380,7/29/15
QUE001381,7/29/15
QUE001382,7/29/15
QUE001383,7/29/15
QUE001384,7/29/15
QUE001385,7/29/15
QUE001386,7/29/15
QUE001387,7/29/15
QUE001388,7/29/15
QUE001389,7/29/15
QUE001390,7/29/15
QUE001391,7/29/15
QUE001392,7/29/15
QUE001393,7/29/15
QUE001400,6/6/15
QUE001403,6/6/15
QUE001406,6/6/15
QUE001408,6/6/15
QUE001409,6/6/15
QUE001410,6/6/15
QUE001411,6/6/15
QUE001412,6/6/15
QUE001419,6/7/15
QUE001444,6/11/15
QUE001451,6/11/15
QUE001452,6/11/15
QUE001463,6/17/15
QUE001483,8/17/15
QUE001484,8/17/15
QUE001485,8/17/15
QUE001486,8/17/15
QUE001487,8/17/15
QUE001488,8/17/15
QUE001489,8/17/15
QUE001526,8/17/15
QUE001527,8/17/15
QUE001528,8/17/15
QUE001529,8/17/15
QUE001530,8/17/15
QUE001531,8/17/15
QUE001532,8/17/15
QUE001533,8/17/15
QUE001534,8/17/15
QUE001535,8/17/15
QUE001536,8/17/15
QUE001537,8/18/15
QUE001538,8/18/15
QUE001539,8/18/15
QUE001540,8/18/15
QUE001541,8/18/15
QUE001542,8/18/15
QUE001543,8/18/15
QUE001544,8/18/15
QUE001545,8/18/15
QUE001546,8/18/15
QUE001547,8/18/15
QUE001548,8/18/15
QUE001549,8/18/15
QUE001550,8/18/15
QUE001551,8/18/15
QUE001552,8/18/15
QUE001553,8/18/15
QUE001554,8/18/15
QUE001555,8/18/15
QUE001556,8/18/15
QUE001557,8/18/15
QUE001610,5/12/17
QUE001611,5/12/17
QUE001629,5/12/17
QUE001630,5/12/17
QUE001632,5/31/17
QUE001633,5/31/17
QUE001634,5/31/17
QUE001635,5/31/17
QUE001636,5/31/17
QUE001637,5/31/17
QUE001638,5/31/17
QUE001640,5/31/17
QUE001642,5/31/17
QUE001643,5/31/17
QUE001644,5/31/17
QUE001645,5/31/17
QUE001646,5/31/17
QUE001647,5/31/17
QUE001648,5/31/17
QUE001649,5/31/17
QUE001650,5/31/17
QUE001651,5/31/17
QUE001652,5/31/17
QUE001653,5/31/17
QUE001654,5/31/17
QUE001655,5/31/17
QUE001656,5/31/17
QUE001658,5/31/17
QUE001660,5/31/17
QUE001661,5/31/17
QUE001662,5/30/17
QUE001663,5/30/17
QUE001664,5/30/17
QUE001665,5/30/17
QUE001666,5/30/17
QUE001667,5/30/17
QUE001668,5/30/17
QUE001669,5/30/17
QUE001670,5/30/17
QUE001671,5/30/17
QUE001672,5/30/17
QUE001673,5/30/17
QUE001675,5/30/17
QUE001676,5/30/17
QUE001677,5/30/17
QUE001678,5/30/17
QUE001679,5/30/17
QUE001680,5/30/17
QUE001682,5/30/17
QUE001683,5/30/17
QUE001684,5/30/17
QUE001686,5/30/17
QUE001687,5/30/17
QUE001688,5/30/17
QUE001689,5/30/17
QUE001690,5/30/17
QUE001691,5/30/17
QUE001692,5/30/17
QUE001693,5/30/17
QUE001694,5/30/17
QUE001695,5/30/17
QUE001697,5/30/17
QUE001700,5/30/17
QUE001701,5/30/17
QUE001702,5/30/17
QUE001703,5/30/17
QUE001705,5/30/17
QUE001706,5/30/17
QUE001708,5/30/17
QUE001709,5/30/17
QUE001710,5/30/17
QUE001711,5/30/17
QUE001712,5/30/17
QUE001713,5/30/17
QUE001714,5/30/17
QUE001715,5/30/17
QUE001716,5/30/17
QUE001719,5/30/17
QUE001720,5/31/17
QUE001721,5/31/17
QUE001723,5/31/17
QUE001724,5/31/17
QUE001725,5/31/17
QUE001728,6/6/17
QUE001729,6/6/17
QUE001750,6/8/17
QUE001758,6/8/17
QUE001759,6/8/17
QUE001764,6/8/17
QUE001767,6/8/17
QUE001778,6/8/17
QUE001780,6/13/17
QUE001783,6/13/17
QUE001789,6/13/17
QUE001792,6/14/17
QUE001796,6/14/17
QUE001800,6/14/17
QUE001804,6/14/17
QUE001815,6/14/17
QUE001816,6/14/17
QUE001817,6/14/17
QUE001819,6/14/17
QUE001820,6/14/17
QUE001839,6/19/17
QUE001840,6/19/17
QUE001841,6/19/17
QUE001846,6/19/17
QUE001857,6/19/17
QUE001858,6/19/17
QUE001860,6/19/17
QUE001862,6/20/17
QUE001863,6/20/17
QUE001866,6/20/17
QUE001870,6/20/17
QUE001871,6/20/17
QUE001877,6/20/17
QUE001878,6/20/17
QUE001880,6/20/17
QUE001882,6/20/17
QUE001884,6/20/17
QUE001885,6/20/17
QUE001886,6/21/17
QUE001893,6/21/17
QUE001894,6/21/17
QUE001898,6/21/17
QUE001900,6/21/17
QUE001902,6/21/17
QUE001904,6/21/17
QUE001907,6/21/17
QUE001912,6/21/17
QUE001915,6/22/17
QUE001916,6/22/17
QUE001918,6/22/17
QUE001920,6/22/17
QUE001922,6/22/17
QUE001923,6/22/17
QUE001924,6/22/17
QUE001925,6/22/17
QUE001927,6/22/17
QUE001928,6/22/17
QUE001929,6/23/17
QUE001930,6/23/17
QUE001932,6/23/17
QUE001933,6/23/17
QUE001936,6/23/17
QUE001937,7/3/17
QUE001938,7/3/17
QUE001940,7/3/17
QUE001943,7/3/17
QUE001947,7/3/17
QUE001951,7/6/17
QUE001955,7/6/17
QUE001959,7/6/17
QUE001960,7/7/17
QUE001963,7/7/17
QUE001969,7/7/17
QUE001971,7/7/17
QUE001974,7/7/17
QUE001979,7/7/17
QUE001980,7/9/17
QUE001982,7/9/17
QUE001985,7/9/17
QUE002057,
QUE002058,
QUE002059,
QUE002068,
QUE002069,
QUE002072,
QUE002073,
QUE002074,
QUE002075,
QUE002076,
QUE002081,7/25/17
QUE002082,7/25/17
QUE002083,7/25/17
QUE002084,7/25/17
QUE002085,7/26/17
QUE002086,7/26/17
QUE002087,7/26/17
QUE002091,7/26/17
QUE002092,7/26/17
QUE002096,7/26/17
QUE002098,7/26/17
QUE002099,7/27/17
QUE002101,7/27/17
QUE002102,7/27/17
QUE002103,7/27/17
QUE002105,7/27/17
QUE002106,7/27/17
QUE002107,7/27/17
QUE002108,7/27/17
QUE002109,7/27/17
QUE002110,8/2/17
QUE002114,8/2/17
QUE002119,8/2/17
QUE002121,8/10/17
QUE002124,8/10/17
QUE002128,8/10/17
QUE002129,8/13/17
QUE002130,8/13/17
QUE002132,8/13/17
QUE002133,8/13/17
QUE002134,8/13/17
QUE002135,8/13/17
QUE002136,8/13/17
QUE002137,8/13/17
QUE002138,8/13/17
QUE002139,8/13/17
QUE002140,8/13/17
QUE002141,8/13/17
QUE002143,8/13/17
QUE002147,8/14/17
QUE002148,8/14/17
QUE002149,8/14/17
QUE002150,8/14/17
QUE002151,8/14/17
QUE002153,8/14/17
QUE002154,8/14/17
QUE002155,8/14/17
QUE002157,8/14/17
QUE002158,8/14/17
QUE002159,8/14/17
QUE002160,8/14/17
QUE002161,8/14/17
QUE002164,8/14/17
QUE002166,7/18/17
QUE002170,7/18/17
QUE002175,7/18/17
QUE002176,7/19/17
QUE002180,7/19/17
QUE002183,7/19/17
QUE002187,7/19/17
QUE002188,7/19/17
QUE002189,7/19/17
QUE002193,7/19/17
QUE002194,7/20/17
QUE002195,7/20/17
QUE002196,7/20/17
QUE002202,7/20/17
QUE002208,7/20/17
QUE002209,7/20/17
QUE002210,7/20/17
QUE002216,7/20/17
QUE002219,7/20/17
QUE002225,7/20/17
QUE002226,6/28/17
QUE002229,6/28/17
QUE002232,6/28/17
QUE002239,6/28/17
QUE002240,6/28/17
QUE002247,6/28/17
QUE002250,6/28/17
QUE002251,6/28/17
QUE002252,6/28/17
QUE002253,6/28/17
QUE002256,6/28/17
QUE002261,6/28/17
QUE002265,6/28/17
QUE002267,6/28/17
QUE002268,6/28/17
QUE002269,6/28/17
QUE002275,6/28/17
QUE002282,6/28/17
QUE002283,6/28/17
QUE002284,6/28/17
QUE002285,6/28/17
QUE002290,6/28/17
QUE002291,6/28/17
QUE002295,6/29/17
QUE002299,6/29/17
QUE002302,6/29/17
QUE002303,6/29/17
QUE002304,6/29/17
QUE002310,6/29/17
QUE002313,8/15/17
QUE002314,8/15/17
QUE002315,8/15/17
QUE002319,8/15/17
QUE002324,8/15/17
QUE002326,8/16/17
QUE002331,8/16/17
QUE002335,8/16/17
QUE002336,8/16/17
QUE002337,8/16/17
QUE002338,8/16/17
QUE002339,8/16/17
QUE002341,8/16/17
QUE002342,8/16/17
QUE002346,8/17/17
QUE002347,8/17/17
QUE002351,8/17/17
QUE002355,8/17/17
QUE002356,8/17/17
QUE002360,8/17/17
QUE002361,8/17/17
QUE002362,8/17/17
QUE002363,8/22/17
QUE002364,8/22/17
QUE002365,8/22/17
QUE002366,8/22/17
QUE002367,8/22/17
QUE002368,8/22/17
QUE002369,8/22/17
QUE002370,8/22/17
QUE002371,8/22/17
QUE002373,8/22/17
QUE002374,8/22/17
QUE002375,8/22/17
QUE002379,8/22/17
QUE002383,8/22/17
QUE002384,8/23/17
QUE002385,8/23/17
QUE002392,8/23/17
QUE002393,8/23/17
QUE002399,8/23/17
QUE002400,8/23/17
QUE002404,8/24/17
QUE002410,8/24/17
QUE002411,8/24/17
QUE002416,8/24/17
QUE002417,8/24/17
QUE002422,8/24/17
QUE002424,8/27/17
QUE002427,8/27/17
QUE002430,8/27/17
QUE002433,8/28/17
QUE002436,8/28/17
QUE002443,8/28/17
QUE002445,8/28/17
QUE002450,8/28/17
QUE002453,8/29/17
QUE002454,9/3/17
QUE002455,9/3/17
QUE002459,9/3/17
QUE002460,9/5/17
QUE002463,9/5/17
QUE002467,9/5/17
QUE002471,9/5/17
QUE002474,9/5/17
QUE002478,9/5/17
QUE002480,9/6/17
QUE002481,9/6/17
QUE002484,9/6/17
QUE002487,9/6/17
QUE002488,9/6/17
QUE002492,9/6/17
QUE002493,9/6/17
QUE002494,9/6/17
QUE002495,9/11/17
QUE002496,9/11/17
QUE002502,9/11/17
QUE002503,9/11/17
QUE002510,9/11/17
QUE002511,9/11/17
QUE002515,9/12/17
QUE002518,9/12/17
QUE002520,9/12/17
QUE002521,9/13/17
QUE002522,9/13/17
QUE002526,9/13/17
QUE002527,9/13/17
QUE002528,9/13/17
QUE002529,9/13/17
QUE002531,9/13/17
QUE002533,9/13/17
QUE002534,9/13/17
QUE002535,9/14/17
QUE002536,9/14/17
QUE002539,9/14/17
QUE002542,9/14/17
QUE002544,9/14/17
QUE002555,9/14/17
QUE002556,9/14/17
QUE002558,9/14/17
QUE002559,9/14/17
QUE002560,9/13/17
QUE002564,9/13/17
QUE002570,8/18/17
QUE002574,8/18/17
QUE002579,8/18/17
QUE002581,8/18/17
QUE002585,8/18/17
QUE002589,8/18/17
QUE002590,8/28/17
QUE002595,9/14/17
QUE002599,9/14/17
QUE002601,8/25/17
QUE002608,9/13/17
QUE002613,9/5/17
QUE002614,9/1/17
QUE002615,9/1/17
QUE002616,9/1/17
QUE002617,9/1/17
QUE002628,8/26/17
QUE002631,8/26/17
QUE002634,8/26/17
QUE002637,8/26/17
QUE002638,8/24/17
QUE002641,8/24/17
QUE002647,8/24/17